strategy,seed_config,seed1,seed2,trial,final_loss,train_rmse,train_mae,train_mape,test_rmse,test_mae,test_mape
shared,shared_321,321,321,5,1416696.75,396.49409428632373,324.3194173177083,5.453206914551592,3192.909308439482,3091.3916015625,34.62264096315925
shared,shared_321,321,321,6,981016.9375,404.04315381981013,331.60205078125,5.565650644567418,3208.705751635185,3107.7041015625,34.81020186416039
shared,shared_321,321,321,7,936741.75,455.53208592404826,383.7195231119792,6.394539684656116,3298.2470265281017,3200.07275390625,35.87225536042736
shared,shared_321,321,321,8,959845.0,751.815129595233,674.9043579101562,11.216990434194612,3665.254154131361,3577.16650390625,40.20807411977748
shared,shared_321,321,321,9,775527.125,887.9384183710429,819.7455851236979,13.676276767483364,3812.9027395759244,3728.30517578125,41.945864493600666
independent,independent_42_100,42,100,0,1163092.5,427.6107521195253,356.2954508463542,5.95673255623408,3252.653616788538,3153.06005859375,35.33170403528991
independent,independent_42_100,42,100,1,1225733.875,541.360188012263,460.2630208333333,7.6259516450536955,3417.8766056828013,3323.23828125,37.28841090254993
independent,independent_42_100,42,100,2,1193219.5,492.07812692642636,417.7403157552083,6.941247497900028,3351.88250137183,3255.326171875,36.507558401506984
independent,independent_42_100,42,100,3,1351267.75,819.9205162523415,748.0708618164062,12.459298211978588,3739.8039435471164,3653.51416015625,41.08591842295451
independent,independent_42_100,42,100,4,1192123.125,455.2889805300511,383.4933675130208,6.390929260485791,3297.8708725322194,3199.68505859375,35.867797645047965
independent,independent_42_100,42,100,5,1223759.25,445.9899100375253,374.6949462890625,6.250468300005569,3283.238955596817,3184.60205078125,35.69437342833564
independent,independent_42_100,42,100,6,1203570.75,766.0231315393612,690.3069458007812,11.47851385970969,3680.9418186886337,3593.23876953125,40.3928728092337
independent,independent_42_100,42,100,7,1616028.625,540.8834468694629,459.8421223958333,7.619117343133085,3417.26274273337,3322.60693359375,37.281151675867854
independent,independent_42_100,42,100,8,1157771.125,613.705844987825,528.121826171875,8.742574079849001,3507.256736292028,3415.09619140625,38.34459189215839
independent,independent_42_100,42,100,9,1316898.25,1022.9561445489416,959.47314453125,16.049781850741038,3955.2728145457586,3873.78564453125,43.61859692558953
independent,independent_123_200,123,200,0,1494255.875,379.1004646882047,293.797607421875,5.190470648729369,2893.0887799677666,2780.646484375,31.049697872805694
independent,independent_123_200,123,200,1,1833552.5,431.6930290587174,360.5169270833333,6.024125625035548,3259.669332285577,3160.296875,35.414912850954956
independent,independent_123_200,123,200,2,1780677.0,356.33505877820346,289.62123616536456,5.035059138159779,2989.462848224101,2880.78466796875,32.20108533269604
independent,independent_123_200,123,200,3,1398977.25,358.1877168662394,293.07973225911456,5.022835130176645,3069.5293662674,2963.78857421875,33.15546310697125
independent,independent_123_200,123,200,4,1725908.875,407.85660640921304,335.6155192057292,5.628738869426214,3216.305085528525,3115.5498046875,34.900411650956556
independent,independent_123_200,123,200,5,1485659.625,357.07748835817284,292.71265665690106,5.024131870875573,3061.0246024749667,2954.9794921875,33.05417640273987
independent,independent_123_200,123,200,6,1472368.0,475.7675147711385,402.74672444661456,6.699880496756823,3328.588727116806,3231.33642578125,36.23172463034178
independent,independent_123_200,123,200,7,1507341.625,392.1227830903,320.14564005533856,5.3894092536892835,3183.2116956272794,3081.37451171875,34.50746460168779
independent,independent_123_200,123,200,8,1953873.5,441.7585391755856,370.5879720052083,6.184903178957843,3276.410391409901,3177.5615234375,35.613421541615836
independent,independent_123_200,123,200,9,1263460.375,407.0414821388185,334.7178649902344,5.614531912215817,3214.6998002628943,3113.892578125,34.88135688269753
independent,independent_456_300,456,300,0,1119768.375,964.139738347476,898.8165079752604,15.01883678075006,3893.6192536451836,3810.81396484375,42.89454941725281
independent,independent_456_300,456,300,1,1399124.875,1251.8278969499613,1200.50927734375,20.176358214419597,4191.6257081245585,4114.82177734375,46.39002707082435
independent,independent_456_300,456,300,2,1262604.875,1162.2295232870827,1106.76416015625,18.571427118478315,4099.637218652606,4021.07666015625,45.3121470006852
independent,independent_456_300,456,300,3,1303814.375,911.846754655163,844.6772257486979,14.099595764671458,3838.345020042766,3754.32080078125,42.24499179261112
independent,independent_456_300,456,300,4,986413.1875,988.6240924908694,924.0022379557291,15.446470008709046,3919.3448123789876,3837.0947265625,43.19672525461464
