model_name,seed,rmse,mae,mape,compute_time,success,seed_idx,trial,original_seed
LSTM_Config2,890005287,277.6551,239.49922,3.9964649826288223,4.132231950759888,True,2,44,890005287
LSTM_Config2,924892836,293.22043,250.00154,4.161012917757034,4.093080520629883,True,2,45,924892836
LSTM_Config2,700472451,489.95688,390.21594,6.277262419462204,4.565453767776489,True,2,46,700472451
LSTM_Config2,1390822908,311.50684,259.35132,4.308193549513817,4.119161128997803,True,2,47,1390822908
LSTM_Config2,721227101,299.45605,236.18889,3.9700109511613846,4.135257244110107,True,2,48,721227101
LSTM_Config2,1891603697,299.53906,235.03093,3.9439477026462555,4.52564263343811,True,2,49,1891603697
LSTM_Config2,986607412,312.91214,239.67578,4.034492000937462,4.024405241012573,True,3,0,986607412
LSTM_Config2,1364519533,5656.4175,5543.862,90.47548770904541,4.0432398319244385,True,3,1,1364519533
LSTM_Config2,107679842,299.45758,254.8077,4.251376911997795,4.498190879821777,True,3,2,107679842
LSTM_Config2,792196356,346.86584,278.66983,4.615247622132301,4.13037896156311,True,3,3,792196356
LSTM_Config2,94675607,795.2697,488.90173,8.02142545580864,4.1608052253723145,True,3,4,94675607
LSTM_Config2,1369367512,719.98895,669.96454,10.900668054819107,4.506030082702637,True,3,5,1369367512
LSTM_Config2,449912920,554.52997,479.36353,7.706311345100403,4.1448516845703125,True,3,6,449912920
LSTM_Config2,1505983443,299.47064,238.68428,3.9846424013376236,4.106416702270508,True,3,7,1505983443
LSTM_Config2,1259424165,313.12833,261.42786,4.330239817500114,4.574256658554077,True,3,8,1259424165
LSTM_Config2,1322661698,344.84308,285.3755,4.727715253829956,4.062366247177124,True,3,9,1322661698
LSTM_Config2,1165210871,1526.6382,1083.6434,17.570829391479492,4.03539776802063,True,3,10,1165210871
LSTM_Config2,974346442,310.99887,252.05122,4.2559802532196045,4.455892086029053,True,3,11,974346442
LSTM_Config2,2063256978,285.5961,225.8177,3.7945207208395004,4.0817930698394775,True,3,12,2063256978
LSTM_Config2,1507147648,302.027,223.82048,3.8414597511291504,4.101074695587158,True,3,13,1507147648
LSTM_Config2,2061817892,579.0226,457.14322,7.483132928609848,4.444515943527222,True,3,14,2061817892
LSTM_Config2,246714334,737.2274,618.03326,10.339859127998352,4.089866638183594,True,3,15,246714334
LSTM_Config2,328224240,411.03458,358.82767,5.834144353866577,4.124289035797119,True,3,16,328224240
LSTM_Config2,1757558301,295.27487,230.48486,3.891623765230179,4.476494789123535,True,3,17,1757558301
LSTM_Config2,2031652748,1214.1013,907.4157,15.108257532119751,4.148451328277588,True,3,18,2031652748
LSTM_Config2,1532325934,337.08682,269.05823,4.482685402035713,4.141064882278442,True,3,19,1532325934
LSTM_Config2,1857718093,436.11032,307.56943,5.174505338072777,4.584786653518677,True,3,20,1857718093
LSTM_Config2,153351464,292.43466,249.4222,4.124835133552551,4.090311765670776,True,3,21,153351464
LSTM_Config2,470308660,616.84216,528.36786,8.883064240217209,4.0705859661102295,True,3,22,470308660
LSTM_Config2,1628146197,296.12598,212.88985,3.603946790099144,4.484013319015503,True,3,23,1628146197
LSTM_Config2,1621887050,305.1803,236.80705,3.9873506873846054,4.032052516937256,True,3,24,1621887050
LSTM_Config2,333821846,266.49976,228.76485,3.823229670524597,4.07159948348999,True,3,25,333821846
LSTM_Config2,1022730421,346.83658,290.526,4.788927733898163,4.830191373825073,True,3,26,1022730421
LSTM_Config2,998308830,4585.707,4485.5845,73.21557998657227,4.123427867889404,True,3,27,998308830
LSTM_Config2,405127881,351.44412,278.5515,4.715267941355705,4.099173307418823,True,3,28,405127881
LSTM_Config2,1407543819,303.82413,219.106,3.751707449555397,4.529921293258667,True,3,29,1407543819
LSTM_Config2,1016964634,231.20667,191.58455,3.1991109251976013,4.088846921920776,True,3,30,1016964634
LSTM_Config2,570441390,271.19836,219.52751,3.6854997277259827,4.193167448043823,True,3,31,570441390
LSTM_Config2,473559744,331.2782,272.16013,4.517826065421104,4.517152786254883,True,3,32,473559744
LSTM_Config2,240247333,311.2909,255.91362,4.281209409236908,4.097006797790527,True,3,33,240247333
LSTM_Config2,1264552022,349.77948,288.7181,4.7744255512952805,4.0687949657440186,True,3,34,1264552022
LSTM_Config2,669923086,287.83136,224.10234,3.777700290083885,4.468461275100708,True,3,35,669923086
LSTM_Config2,338084211,1162.8474,1029.6288,16.49966984987259,4.193838834762573,True,3,36,338084211
LSTM_Config2,61996649,4078.3752,3574.2976,57.36847519874573,4.0708136558532715,True,3,37,61996649
LSTM_Config2,1650318293,307.1296,251.97612,4.207338392734528,4.494168996810913,True,3,38,1650318293
LSTM_Config2,279420810,263.4945,207.39441,3.5179242491722107,4.138792276382446,True,3,39,279420810
LSTM_Config2,1448171685,295.52087,226.19121,3.814208135008812,4.224051237106323,True,3,40,1448171685
LSTM_Config2,550279152,360.01434,305.12012,5.027010664343834,4.607084274291992,True,3,41,550279152
LSTM_Config2,1438614606,2746.4404,2482.6885,40.41708707809448,4.0721495151519775,True,3,42,1438614606
LSTM_Config2,107985430,889.16284,778.5554,12.833493947982788,4.121739387512207,True,3,43,107985430
LSTM_Config2,490686219,558.0775,432.9319,7.3390573263168335,4.552773714065552,True,3,44,490686219
LSTM_Config2,1140584702,383.14624,308.71188,5.252563953399658,4.076728343963623,True,3,45,1140584702
LSTM_Config2,475382439,656.62085,570.25507,9.152235835790634,4.0709228515625,True,3,46,475382439
LSTM_Config2,858302800,327.40408,263.94363,4.399270936846733,4.482037305831909,True,3,47,858302800
LSTM_Config2,1788055796,293.97247,207.43501,3.5727348178625107,4.072308540344238,True,3,48,1788055796
