RMSE,MAE,MAPE,config_name,seed_idx,trial,trial_seed,compute_time
338.0114126820988,251.892333984375,4.280256283203151,lstm_medium,9,41,9083,3.8897194862365723
290.77723361156865,228.67171223958334,3.8457898563968493,lstm_medium,9,42,9084,3.841371536254883
1070.7374792088654,946.6260172526041,15.166564730980307,lstm_medium,9,43,9085,4.305295705795288
291.3978096522177,241.37235514322916,4.0298357027578735,lstm_medium,9,44,9086,3.889913558959961
294.3376998832404,211.07454427083334,3.620174468241562,lstm_medium,9,45,9087,3.861513376235962
287.3769555617824,228.90869140625,3.844266588407489,lstm_medium,9,46,9088,4.171281576156616
305.5870288571435,247.69868977864584,4.138012450562467,lstm_medium,9,47,9089,3.9380507469177246
364.24623274063197,325.7318929036458,5.307282434346833,lstm_medium,9,48,9090,3.9037766456604004
279.44505259004706,224.79972330729166,3.77851450115703,lstm_medium,9,49,9091,3.8775932788848877
951.793104624201,838.3228352864584,13.48182176276712,lstm_large,0,0,42,3.19028902053833
379.3419865124052,288.6066487630208,4.794567689234977,lstm_large,0,1,43,2.840977191925049
717.207172267913,588.30810546875,9.728182002678826,lstm_large,0,2,44,2.786581039428711
376.9215820687302,271.8092447916667,4.662075484643061,lstm_large,0,3,45,2.715649366378784
745.1636876810463,633.6937662760416,10.185203348613591,lstm_large,0,4,46,3.2054712772369385
345.0081412623473,290.4038899739583,4.746720526109519,lstm_large,0,5,47,2.7966716289520264
2492.1808589604652,2408.7405802408853,39.177697570378385,lstm_large,0,6,48,2.720050811767578
2207.0530791324454,2003.231953938802,32.32892595284703,lstm_large,0,7,49,3.1118063926696777
448.43260970595975,399.7200520833333,6.470304747127269,lstm_large,0,8,50,2.794679880142212
297.4267317026758,249.51127115885416,4.199920437999147,lstm_large,0,9,51,2.80078387260437
311.2520827667993,262.911376953125,4.3695516847513955,lstm_large,0,10,52,2.740208148956299
2507.340651642332,2271.4167277018228,37.53568852677062,lstm_large,0,11,53,3.2010536193847656
682.5591887837296,546.7230224609375,9.201342600519997,lstm_large,0,12,54,2.7608351707458496
277.138693123531,235.08280436197916,3.959883212030836,lstm_large,0,13,55,2.741633415222168
269.32117461592344,214.6669921875,3.6481204779648913,lstm_large,0,14,56,3.0481364727020264
331.76449765545175,281.7790120442708,4.6309627579140775,lstm_large,0,15,57,2.825521230697632
3247.8614355271,2724.3079681396484,43.86718601533742,lstm_large,0,16,58,2.761624813079834
864.8997766670104,713.819580078125,11.468580577762767,lstm_large,0,17,59,2.7683165073394775
470.50840977893847,334.0358479817708,5.612356380377173,lstm_large,0,18,60,3.193568229675293
1007.0499469636557,882.5439046223959,14.646237660967268,lstm_large,0,19,61,2.8166489601135254
298.1336559971036,262.1703287760417,4.314667785659895,lstm_large,0,20,62,2.7969417572021484
1456.8925085028538,1355.32568359375,21.882502995592304,lstm_large,0,21,63,2.6956913471221924
460.18422160752505,377.7450764973958,6.445862988078487,lstm_large,0,22,64,3.2216134071350098
2268.268730292187,1964.1342061360676,32.16124781038789,lstm_large,0,23,65,2.787306308746338
1162.3093834007623,915.6529541015625,15.330306442252214,lstm_large,0,24,66,2.73041033744812
495.89427647466914,405.3211263020833,6.4947420952133195,lstm_large,0,25,67,3.152541399002075
5530.820668234443,5517.900234222412,90.68050151679383,lstm_large,0,26,68,2.853189468383789
377.1032105637936,283.7530924479167,4.861027409674822,lstm_large,0,27,69,2.774962902069092
634.4902552963172,498.07275390625,8.359999236454495,lstm_large,0,28,70,2.730332612991333
1835.7437699263687,1406.205586751302,22.95222082703555,lstm_large,0,29,71,3.1993680000305176
1624.6925116467896,1431.0692342122395,23.55031088869182,lstm_large,0,30,72,2.812598943710327
608.7046811009453,546.5556233723959,9.031997467757554,lstm_large,0,31,73,2.725196361541748
550.9896699917107,512.5204671223959,8.513106264319768,lstm_large,0,32,74,2.7005553245544434
302.81922634784837,219.22737630208334,3.7947882733251928,lstm_large,0,33,75,3.1415064334869385
6073.896894326287,6060.586816389735,99.52285701343007,lstm_large,0,34,76,2.767894983291626
705.0160919676513,550.7006022135416,8.787141013336965,lstm_large,0,35,77,2.7704572677612305
1078.1119585694544,968.050537109375,15.544858676019752,lstm_large,0,36,78,3.0362443923950195
878.8039250328185,752.5214029947916,12.45994315054756,lstm_large,0,37,79,2.780855417251587
707.2521116781949,623.7873942057291,10.000292855637914,lstm_large,0,38,80,2.753979206085205
434.31685125446495,371.0775146484375,6.067886937195366,lstm_large,0,39,81,2.7090203762054443
449.9183956913663,406.3636067708333,6.799684715964981,lstm_large,0,40,82,3.163059949874878
6062.678278944926,6051.890446558595,99.41429005985883,lstm_large,0,41,83,2.813852310180664
2808.670565204718,2761.2643432617188,45.08333978188908,lstm_large,0,42,84,2.7721948623657227
466.305528741725,415.6935221354167,7.010236576408495,lstm_large,0,43,85,3.049450159072876
329.27970467401803,290.2765706380208,4.860974810812987,lstm_large,0,44,86,2.839824676513672
2313.8886303707372,1899.3206176757812,31.00502810272991,lstm_large,0,45,87,2.819052219390869
844.0097880649826,737.2935791015625,11.820954073326464,lstm_large,0,46,88,2.7568790912628174
822.9911547461702,794.2485758463541,13.231601553162884,lstm_large,0,47,89,3.159648895263672
1049.4708962628922,896.7726643880209,14.369426547423922,lstm_large,0,48,90,2.797541379928589
3614.2569630612043,2782.5111083984375,45.15213201649059,lstm_large,0,49,91,2.7127959728240967
1761.3229460146736,1490.1266479492188,24.174933183247248,lstm_large,1,0,1042,2.7365384101867676
381.66688648409985,294.1148681640625,5.055534538428577,lstm_large,1,1,1043,3.166048288345337
1791.832275277438,1479.8670450846355,24.163844158666038,lstm_large,1,2,1044,2.7737951278686523
736.5007700652249,570.1251627604166,9.34825966075717,lstm_large,1,3,1045,2.7621116638183594
716.172534652167,596.6634928385416,9.807998931983713,lstm_large,1,4,1046,3.112812042236328
