seed1,seed2,strategy,strategy_detail,seeding_approach,global_seed_flag,trial,final_loss,train_rmse,train_mae,train_mape,val_rmse,val_mae,val_mape,is_diagonal
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,14,2242822.0,619.8114081756758,440.34442429315476,8.658779849420716,346.68754578220967,296.126220703125,4.847745413880959,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,15,2064167.75,535.1202306817713,396.73809523809524,7.6171098195625495,474.2703678181882,406.9475911458333,6.534453257270996,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,16,2007918.5,563.8889949318776,408.9332682291667,7.955572795433327,408.7472659405526,356.64013671875,5.765832141639995,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,17,2258346.0,583.4592749113609,420.2275623139881,8.213976750343578,381.0620879468817,332.922119140625,5.405994296381236,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,18,2055992.0,591.7759494441615,424.54571242559524,8.312772395149304,371.53399693423364,323.85400390625,5.268417408441615,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,19,2228685.5,571.3417932899515,413.46079799107144,8.059158870637651,397.2008232993493,347.13232421875,5.621584387718111,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,20,2112110.75,580.8786416127011,418.8382859002976,8.182191273795416,384.259346336723,335.839599609375,5.450256844125856,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,21,2309659.75,577.9637379871122,417.2374209449405,8.145564829270882,388.0196973926208,339.201416015625,5.501260633451666,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,22,2135982.25,592.6161800754793,424.9697033110119,8.322472950209654,370.6330945708677,322.963623046875,5.254908997427001,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,23,2157911.25,584.1451442427195,420.5926106770833,8.222328750039079,380.2323666536971,332.155517578125,5.394363802664239,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,24,2129948.5,568.1206957033978,411.5439453125,8.01530289261873,402.0200190940722,351.15771484375,5.6826555916690165,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,25,1887367.125,582.0534153278135,419.47386532738096,8.196732796832135,382.78891053720884,334.5048828125,5.430007191530053,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,26,2092077.0,541.1396653106132,396.80629185267856,7.65146732436644,456.1504059396497,392.033935546875,6.302809073370617,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,27,2118604.0,552.6711704381219,402.01246279761904,7.793565408151874,429.2326306006104,372.52978515625,6.006901903766432,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,28,2047395.875,545.4607405026919,398.3690708705357,7.69936952298162,445.13509575436615,384.208251953125,6.184081734006092,False
456,123,different_seeds,layer1_456_layer2_123,layer_specific_different,False,29,2189519.25,535.133921700659,396.73809523809524,7.617192824220213,474.22425108273023,406.9059244791667,6.533797988552689,False
456,456,same_seeds,both_layers_seed_456,global_seed,True,0,1890239.625,569.7683477172948,412.53155226934524,8.037898509629327,399.52405743212154,349.083740234375,5.651190290991981,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,1,2377490.75,605.4601192244417,432.2031715029762,8.482085292605998,358.13090457664487,309.852783203125,5.055997923035233,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,2,2099074.5,571.8488601316433,413.7574869791667,8.065946865294633,396.4642869737179,346.50927734375,5.612131833588882,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,3,2373803.5,556.9629935937508,404.4310825892857,7.8523336218965945,420.8792847910075,366.180908203125,5.910579932712133,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,4,2242724.75,540.3483078528989,396.73809523809524,7.646242508981224,458.3229949979311,393.55517578125,6.325888565838965,True
456,456,same_seeds,both_layers_seed_456,global_seed,True,5,1995631.625,543.6276251148387,397.44663783482144,7.674792597581802,449.6461882668572,387.436767578125,6.233063150857546,True
