lookback,batch_size,epochs,encoder_units,decoder_units,attention,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
7,16,100,128,128,False,266.83677731330124,1.2695371822864463,215.3400163374607,0.1433201469640405,3.808778821486585,0.0026878535113043
7,16,100,64,128,False,267.0136148172798,0.6877031241378001,215.7510825103184,0.2525867703436798,3.811168251489704,0.0049121455118499
7,32,100,128,64,False,267.1021537570151,0.3331369366468867,215.37779978626176,0.1697917267351467,3.800455814043727,0.001894746451075
7,8,100,64,128,False,267.2460244607894,0.6279653571265543,217.99027951798345,1.0688730072259665,3.8736207558744735,0.0256781951686234
7,8,50,64,128,False,267.34715325047483,0.544977139043858,218.0760241622445,0.971726030930648,3.8759722595049486,0.0223074841066916
3,32,50,128,64,False,267.46066887197287,0.3771700671088518,214.9033988372624,0.2591310771636065,3.845033389227525,0.0024868042803532
3,8,50,64,128,False,267.4830452693758,5.628796869647344,216.74537674753284,5.332613996672071,3.878544523176238,0.1179986200314675
5,32,100,64,128,False,267.5707597176585,2.0591758853961157,215.6624884588068,0.9632508470821576,3.839402044113941,0.011415113620649
7,16,100,128,64,False,267.8758401412935,1.8202681826563956,215.62085360161163,0.2457402217746141,3.813716784500855,0.0048054230188952
5,32,100,128,64,False,268.26355912912885,0.5041678494742693,214.99089518229167,0.5789975727025697,3.829103917231292,0.0201714551655517
7,32,100,64,128,False,268.27086131710536,2.351614059227472,216.640932709316,1.138579456587421,3.816669257917428,0.016292027916471
3,32,100,128,128,False,268.5273424316128,0.5197188354893423,214.59784528051904,0.2807668894044305,3.847395822820187,0.0062611778217915
7,16,100,64,64,False,268.57283775273703,0.8139435976571683,215.57895415683967,0.1010785438852496,3.81947245342378,0.0024942979252117
7,8,100,128,64,False,268.7143319514887,0.5852212600949293,217.92285524764156,0.8230754180502001,3.8832850724783463,0.0195210040339697
5,8,100,64,128,False,268.76826183618147,0.8545866688309292,216.6988639322917,0.4540190367251267,3.863730336938015,0.0123084313261981
5,8,50,64,128,False,268.76898686626447,0.6166896718385159,216.4862982362689,0.4160365236685849,3.855743162788936,0.011317457046623
7,8,50,128,64,False,268.7838765578546,0.6417584229214701,217.64137461920205,0.8727182490380475,3.875698655327808,0.0211901879178847
3,32,50,128,128,False,268.81115638259183,1.6906006841917514,215.1372935512609,1.371393045616084,3.863282175124093,0.0193676742861683
5,32,50,64,128,False,269.05635595821707,1.889701081120339,216.35220170454545,0.97383590217368,3.843673184154253,0.0092362660537218
7,32,50,64,128,False,269.05788027393675,0.5367304205058285,216.75003439465408,0.2597831890880968,3.816709649309632,0.0028199643276856
7,32,100,128,128,False,269.12042614084595,0.6294011122818729,215.9065214720912,0.2348761120684223,3.812827354841888,0.004001388407897
7,8,50,128,128,False,269.2326534075191,0.5173320148243469,216.58069630748824,0.1876519753991597,3.857110762250935,0.0037247957547381
7,8,50,64,64,False,269.261038906732,0.7484190299856227,215.8494745602398,0.3986122198331975,3.827276488179328,0.0088187619089378
11,16,50,64,128,False,269.41088627532787,0.9591710598996036,214.70795632706208,0.7803614548930221,3.6730716447201774,0.0111898399135229
7,8,100,128,128,False,269.42766315076113,0.5784748445276,216.5679257566824,0.1855027495427499,3.857064746168884,0.0039681495981491
9,8,100,64,128,False,269.8352952938486,0.6285788691526304,217.8691945593341,0.6040899207827821,3.8409161712941136,0.0180976853063158
5,32,50,128,64,False,269.8613939266394,0.7259835653695388,216.2490988991477,0.238678716112051,3.852994155029693,0.0063696395766012
11,16,50,128,128,False,269.88284176746293,1.0849215206803091,212.5435570126488,0.8376260441702594,3.649059493742105,0.0114468886812577
3,32,100,64,128,False,269.9635657592786,2.480037386932576,217.04542443347952,0.5363382513866127,3.863155889116594,0.0282168386551767
3,32,100,64,64,False,270.0301070990368,0.9174024352376462,216.3316095006396,0.6244435315120455,3.871508232187584,0.0124120859853165
9,16,50,64,128,False,270.3200913226634,0.4748268212274149,217.1443972120098,0.5503376760720252,3.8175357518701536,0.0093310622962293
7,16,50,64,128,False,270.33872935921875,4.1563386047949695,217.83422237372244,2.3789131195200888,3.833437363544714,0.0231206032962812
9,8,100,128,64,False,270.3424755648411,0.9213203831611404,216.629190282884,0.3829593222838394,3.8220617110860937,0.0121090338807188
11,8,50,128,128,False,270.69815250762593,2.142059913563401,213.64614656409444,1.5761466015549468,3.66392577100107,0.0212682531439545
11,32,100,64,64,False,270.8100176620671,1.3239332218663862,212.1751295440052,0.8633360426342305,3.645009785351485,0.013361641276267
11,16,50,128,64,False,270.9248878060782,0.7411660537422033,214.89190217102467,0.7757910234777795,3.677713728768682,0.0109213352241403
9,8,50,64,128,False,270.93837579297895,1.3357794456743093,218.6130071103962,0.8137921155551426,3.8508802659996046,0.0164830061484729
11,8,100,128,128,False,270.9526008304284,1.2766082144937008,213.76599901679415,1.2799859352683745,3.665368922746645,0.0184662019438785
5,8,50,128,64,False,271.01071334991667,1.241988048115759,216.47058357007572,0.5916570359684438,3.85942007319982,0.0138042672375288
5,8,100,128,64,False,271.05020275440154,1.2409717705845402,216.45945993134472,0.4109242935648125,3.857329410407696,0.0103722453436717
9,16,50,128,64,False,271.2509302516428,0.5708354799456008,215.7904497931985,0.2563240127756636,3.7999237169559295,0.0037284702808481
3,8,100,64,64,False,271.56418787106315,0.6720541007745341,218.94170921281068,0.3684469316496219,3.9690244891672646,0.0083933788803909
3,8,50,64,64,False,271.60286907924444,0.6950022697006003,218.8710494905885,0.4400814310323225,3.967664164404913,0.0103834292631164
7,32,50,128,64,False,271.7546794590235,1.2070704093214826,217.4268275230936,0.4067612099375811,3.831206757944036,0.00566128143507
3,32,100,128,64,False,271.8231062001925,2.97780936272376,217.6478198670505,1.2641542627667453,3.8723863453241134,0.0143538014443604
11,32,100,128,64,False,271.9583305759785,42.945227649238895,220.09916626806972,39.58062285349849,3.827418036614324,0.7142957776618369
11,8,100,64,128,False,272.07308177395845,1.560546141674755,217.28643939997875,1.5389514282888843,3.710276601531476,0.0226743273116249
11,8,50,64,128,False,272.148867098698,1.095254303775061,217.46298329878823,0.91964206391141,3.712940810235336,0.013629294557013
12,32,100,64,128,False,272.40713130887065,28.00732284966544,219.8086985270183,23.774854244946663,3.717315886535908,0.3619209852831053
