config,mean_rmse,median_rmse,std_rmse,cv_rmse,mean_median_diff,mean_median_ratio,rank_by_mean,rank_by_median,rank_difference
lookback_9_bs_32_epochs_200,1656.93594233779,1509.804188860554,1104.093483987681,0.6663465109157466,147.1317534772361,1.0974508844012918,32.0,38.0,6.0
lookback_12_bs_16_epochs_100,1773.7788177342577,1517.1720663953056,1103.332141832095,0.6220235188293882,256.6067513389521,1.1691349036952887,46.0,39.0,7.0
lookback_6_bs_8_epochs_150,1498.6793288939857,1524.456062166466,780.4117724283924,0.5207329929640989,25.776733272480215,0.9830911930411115,10.0,40.0,30.0
lookback_6_bs_48_epochs_200,2318.031560659635,1525.9255761632685,2644.3265613044277,1.1407638300454976,792.1059844963665,1.5190987010572357,132.0,41.0,91.0
lookback_10_bs_16_epochs_200,1567.836626862597,1529.541621466934,846.0912132453815,0.5396552158234097,38.29500539566311,1.0250369161964588,20.0,42.0,22.0
lookback_11_bs_8_epochs_200,1526.2617819217237,1532.4852952435626,913.238954921209,0.5983501426415496,6.2235133218389365,0.9959389409208982,15.0,43.0,28.0
lookback_1_bs_16_epochs_50,1882.5889477835187,1534.1924268473963,1172.7902307575544,0.6229667034528957,348.39652093612244,1.2270878899148527,68.0,44.0,24.0
lookback_8_bs_32_epochs_50,2846.1301292891444,1557.0544164213293,3942.146776881945,1.3850901391731318,1289.0757128678151,1.8278938097941204,193.0,45.0,148.0
lookback_6_bs_8_epochs_50,1815.3964613821477,1557.5154371511594,1254.9297502192098,0.6912703516364531,257.88102423098826,1.1655720502537532,58.0,46.0,12.0
lookback_9_bs_8_epochs_200,1595.687217256927,1562.3947009616593,865.00564971561,0.5420897280875645,33.29251629526766,1.021308646448158,24.0,47.0,23.0
lookback_12_bs_16_epochs_150,1769.3884851443722,1569.6431053646374,1221.5627724668743,0.6903869798650812,199.74537977973478,1.1272552844000374,44.0,48.0,4.0
lookback_6_bs_8_epochs_100,1630.2954544122426,1573.134896938039,978.379469006598,0.6001240243654641,57.16055747420364,1.0363354456032101,27.0,49.0,22.0
lookback_11_bs_48_epochs_100,1812.3818771490887,1581.378286750341,994.49979194311,0.5487253014841867,231.00359039874775,1.1460773758778802,56.0,50.0,6.0
lookback_4_bs_8_epochs_150,1711.440748418797,1581.9146252520932,1001.0876295826304,0.5849385265061247,129.52612316670388,1.0818793385553678,37.0,51.0,14.0
lookback_9_bs_32_epochs_100,2085.1108373438265,1589.4266026977302,1875.435437268144,0.8994416045802232,495.68423464609623,1.3118635574645425,101.0,52.0,49.0
lookback_18_bs_48_epochs_100,2638.511997551253,1589.4720145616177,3525.62423604108,1.3362168674287391,1049.0399829896353,1.6599927355619184,180.0,53.0,127.0
lookback_4_bs_32_epochs_100,2152.024258267541,1598.6016326661988,1771.8445043813313,0.8233385369957361,553.4226256013421,1.346191705483452,111.0,54.0,57.0
lookback_18_bs_8_epochs_50,2416.002141992936,1598.8715281795685,2038.1271016781825,0.843594906748283,817.1306138133673,1.511067086636867,153.0,55.0,98.0
lookback_12_bs_8_epochs_200,1548.5987358061195,1598.934928604279,716.0767336228602,0.46240302091562024,50.33619279815957,0.9685189235048494,18.0,56.0,38.0
lookback_1_bs_8_epochs_200,1633.9523127863197,1599.2040599777706,764.9783983116708,0.4681766978910057,34.74825280854907,1.0217284671032114,29.0,57.0,28.0
lookback_5_bs_8_epochs_200,1508.161932957554,1609.5229447877805,615.2615112106837,0.4079545423906411,101.36101183022652,0.9370241895845783,12.0,58.0,46.0
lookback_24_bs_32_epochs_150,1904.2359285535008,1610.0466428157242,1070.384038074281,0.5621068387714794,294.1892857377766,1.1827209708802502,72.0,59.0,13.0
lookback_12_bs_8_epochs_50,1898.129937199416,1614.2799629625204,1111.6509601777072,0.5856558807654052,283.8499742368956,1.175836893692204,71.0,60.0,11.0
lookback_1_bs_48_epochs_200,1756.6988264346974,1621.8015962929949,952.7466601050444,0.542350598616092,134.8972301417025,1.0831773938625056,42.0,61.0,19.0
lookback_5_bs_8_epochs_150,1631.5764213290083,1633.1356123298076,784.5350015413616,0.4808447776551679,1.5591910007992738,0.9990452776921722,28.0,62.0,34.0
lookback_3_bs_16_epochs_200,1635.3762854813183,1634.5190812911433,889.4126615816743,0.5438581135594157,0.8572041901750254,1.000524438166545,30.0,63.0,33.0
lookback_18_bs_16_epochs_200,1841.584283345525,1634.9311785706918,907.967882303569,0.49303628973967123,206.65310477483308,1.126398656704006,61.0,64.0,3.0
lookback_11_bs_8_epochs_100,2088.330269709476,1635.0837800334032,1568.086861899243,0.7508806842690605,453.24648967607277,1.2772007741810107,103.0,65.0,38.0
lookback_18_bs_8_epochs_150,1760.7071294805862,1641.7096374808143,983.2031566421506,0.5584137987401677,118.99749199977191,1.0724838846547629,43.0,66.0,23.0
lookback_10_bs_8_epochs_150,1503.6038911096143,1642.8300748083502,748.3591160183706,0.4977102815729641,139.2261836987359,0.915252230992315,11.0,67.0,56.0
lookback_7_bs_8_epochs_200,1580.236475879448,1646.8982462674062,1029.432145474046,0.6514418324011516,66.66177038795809,0.9595228360106383,21.0,68.0,47.0
lookback_9_bs_48_epochs_200,1908.950635141174,1656.9517294399218,1163.880202040355,0.609696332956395,251.99890570125217,1.1520858460894525,74.0,69.0,5.0
lookback_2_bs_16_epochs_50,2066.0446779384038,1663.229609902249,2268.828293192369,1.0981506437974575,402.8150680361548,1.2421884901747444,97.0,70.0,27.0
lookback_2_bs_32_epochs_150,1602.1982853753473,1663.9148440594922,995.2959644965734,0.6212064846039985,61.71655868414496,0.9629088237871756,26.0,71.0,45.0
lookback_5_bs_16_epochs_200,3521.681890447552,1669.5116816810732,6093.690214293983,1.730335221594807,1852.170208766479,2.1094083552032905,207.0,72.0,135.0
lookback_8_bs_48_epochs_50,3228.875604871986,1675.1271697314996,3186.9005721270096,0.9870001084335237,1553.7484351404864,1.9275405851064618,201.0,73.0,128.0
lookback_8_bs_16_epochs_200,1582.8237774752731,1684.453625043874,1011.3607276593395,0.6389597768568643,101.62984756860078,0.9396659866097805,22.0,74.0,52.0
lookback_8_bs_32_epochs_150,1889.6170402025537,1690.803214766074,1339.713900069352,0.7089869913142528,198.81382543647965,1.117585431409288,69.0,75.0,6.0
lookback_3_bs_16_epochs_100,2178.8015674630337,1696.2238495714887,2384.532165832087,1.0944237425937795,482.57771789154503,1.2845011983609693,115.0,76.0,39.0
lookback_24_bs_8_epochs_200,1809.900159679158,1697.7534223245175,866.9923603616816,0.4790277274274476,112.14673735464044,1.0660559630626998,55.0,77.0,22.0
lookback_2_bs_8_epochs_150,1849.3215009556168,1708.1502998601277,797.1249516454192,0.431036437543993,141.1712010954891,1.0826456554244956,64.0,78.0,14.0
lookback_10_bs_32_epochs_200,1782.953369663216,1710.5806631521457,918.7961648216158,0.5153225992641457,72.37270651107042,1.0423088534028595,47.0,79.0,32.0
lookback_11_bs_8_epochs_50,1941.4408388446664,1712.6467356106718,1276.14765140372,0.6573198759757952,228.79410323399452,1.1335909493047989,82.0,80.0,2.0
