config,mean_rmse,median_rmse,std_rmse,cv_rmse,mean_median_diff,mean_median_ratio,rank_by_mean,rank_by_median,rank_difference
lookback_5_bs_32_epochs_100_dmodel_64_heads_2,316.1971893602896,295.1730182454928,58.980753801870826,0.18653155621401002,21.024171114796786,1.0712266020782129,10.0,12.0,2.0
lookback_2_bs_8_epochs_100_dmodel_128_heads_2,351.2952736079629,296.5838505408153,125.10172063027808,0.35611558147488376,54.711423067147564,1.1844720235689916,44.0,13.0,31.0
lookback_6_bs_32_epochs_150_dmodel_64_heads_2,310.23777633740696,296.7751736198071,53.78639015744388,0.17337150489032363,13.46260271759985,1.0453629680454557,6.0,14.0,8.0
lookback_9_bs_8_epochs_150_dmodel_64_heads_2,361.08950296500615,299.1891267384656,157.9706323916492,0.4374833139554279,61.90037622654057,1.2068938029310485,59.0,15.0,44.0
lookback_5_bs_32_epochs_100_dmodel_64_heads_1,350.374297216069,299.6762499436227,97.40321580015208,0.2779976059148123,50.69804727244633,1.1691760601048098,42.0,16.0,26.0
lookback_5_bs_32_epochs_100_dmodel_64_heads_4,331.8138681042243,300.3027003516413,101.0566919598931,0.30455837345577946,31.511167752582992,1.1049313499868125,25.0,17.0,8.0
lookback_1_bs_8_epochs_200_dmodel_64_heads_1,310.1600896430003,300.50560823721827,28.64557721455823,0.09235739275007881,9.654481405782008,1.0321274583273694,5.0,18.0,13.0
lookback_9_bs_8_epochs_150_dmodel_64_heads_4,348.65858971062784,301.9474156782387,147.47889695214127,0.42298942663234723,46.711174032389124,1.1546996980499595,37.0,19.0,18.0
lookback_1_bs_8_epochs_200_dmodel_128_heads_1,363.813323016332,303.007284418512,174.21776138573856,0.47886580936981715,60.80603859782002,1.200675170943531,62.0,20.0,42.0
lookback_4_bs_8_epochs_50_dmodel_64_heads_1,327.6045508394631,303.5595453642371,70.36548795210709,0.21478788304924515,24.04500547522599,1.0792101775168186,23.0,21.0,2.0
lookback_9_bs_16_epochs_150_dmodel_64_heads_1,326.6877475058891,305.0843763056089,105.66877050868796,0.3234549545106007,21.603371200280208,1.0708111357975267,21.0,22.0,1.0
lookback_10_bs_16_epochs_50_dmodel_64_heads_4,313.8800054577561,305.5081703413905,40.42183700143647,0.12878117847132728,8.371835116365617,1.027402982732051,8.0,23.0,15.0
lookback_10_bs_16_epochs_50_dmodel_64_heads_2,316.2866107765904,305.5181919568991,43.9885511871138,0.13907813258078505,10.768418819691306,1.035246407916719,11.0,24.0,13.0
lookback_9_bs_16_epochs_200_dmodel_64_heads_1,414.04161768691847,305.82121221359364,200.0503569621024,0.4831648520738135,108.22040547332483,1.353868211724113,276.0,25.0,251.0
lookback_3_bs_32_epochs_200_dmodel_128_heads_2,410.55332940247695,306.7399758825733,223.55832172555355,0.5445293113343457,103.81335351990367,1.3384409000529023,246.0,26.0,220.0
lookback_6_bs_32_epochs_150_dmodel_128_heads_4,359.73592223851085,308.74859199661046,139.2552817371366,0.3871041870675569,50.987330241900395,1.165141903683435,57.0,27.0,30.0
lookback_1_bs_8_epochs_200_dmodel_64_heads_2,320.2382232211776,309.314006675531,34.01818460946756,0.10622774591767693,10.924216545646573,1.0353175617976655,14.0,28.0,14.0
lookback_9_bs_16_epochs_150_dmodel_64_heads_2,345.8453574650485,309.84466995120385,139.72073732111392,0.4039977241424565,36.00068751384464,1.1161894684827538,34.0,29.0,5.0
lookback_2_bs_32_epochs_100_dmodel_64_heads_4,317.5465813871619,309.98889920357334,51.21110223036238,0.16127114959529146,7.557682183588554,1.0243804929886386,12.0,30.0,18.0
lookback_9_bs_16_epochs_150_dmodel_64_heads_4,365.76669937495495,311.10808165505046,160.4155488602161,0.4385734106859488,54.6586177199045,1.175690124888844,66.0,31.0,35.0
lookback_4_bs_32_epochs_100_dmodel_64_heads_4,321.18929688281384,311.116976859931,58.10732069406553,0.18091300444318986,10.07232002288282,1.0323747039603612,15.0,32.0,17.0
lookback_6_bs_32_epochs_200_dmodel_128_heads_1,350.05665164854224,312.7537212393295,116.93319708601943,0.33404078035751955,37.30293040921276,1.1192725389849714,40.0,33.0,7.0
lookback_10_bs_16_epochs_50_dmodel_64_heads_1,315.1877164787334,313.07702189726365,34.602974986621284,0.10978529040790218,2.1106945814697724,1.0067417741764593,9.0,34.0,25.0
