Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq+Attention_Mean,Seq2Seq+Attention_CI_Lower,Seq2Seq+Attention_CI_Upper,Seq2Seq+Attention_PI_Lower,Seq2Seq+Attention_PI_Upper,Dataset,Horizon,Horizon_Months
2016-08-01,5565.0,5751.5338033430135,5751.533803343013,5751.533803343014,3902.3862132783283,7600.681393407698,5569.95,5553.1284,5586.772,3332.0088,7807.8916,Train,2020-2021,24
2016-09-01,5367.0,5569.408740394357,5569.408740394357,5569.408740394357,3720.2611503296716,7418.556330459041,5624.1494,5609.6875,5638.6113,3386.208,7862.091,Train,2020-2021,24
2016-10-01,5633.0,5422.150054380678,5422.150054380677,5422.150054380679,3573.0024643159927,7271.297644445363,5620.91,5605.467,5636.3535,3382.9688,7858.8516,Train,2020-2021,24
2016-11-01,5664.0,5357.016189351527,5357.016189351526,5357.016189351528,3507.868599286842,7206.1637794162125,5597.372,5582.6494,5612.0947,3359.4307,7835.3135,Train,2020-2021,24
2016-12-01,6082.0,5720.584077650826,5720.584077650826,5720.584077650826,3871.4364875861406,7569.73166771551,5633.4634,5618.888,5648.0386,3395.522,7871.405,Train,2020-2021,24
2017-01-01,6505.0,7064.979816460045,7064.979816460044,7064.979816460046,5215.83222639536,8914.12740652473,5851.335,5838.993,5863.677,3613.3936,8089.2764,Train,2020-2021,24
2017-02-01,5813.0,6617.3485603628815,6617.348560362881,6617.348560362882,4768.200970298196,8466.496150427567,6121.949,6109.931,6133.9673,3884.0078,8359.891,Train,2020-2021,24
2017-03-01,6379.0,6327.2422971491615,6327.2422971491615,6327.2422971491615,4478.094707084476,8176.389887213847,6125.5117,6104.546,6146.4775,3887.5703,8363.453,Train,2020-2021,24
2017-04-01,6091.0,6079.626160975285,6079.626160975284,6079.6261609752855,4230.4785709106,7928.773751039969,6221.23,6202.543,6239.917,3983.2886,8459.172,Train,2020-2021,24
2017-05-01,6219.0,6094.638202705189,6094.638202705189,6094.638202705189,4245.490612640504,7943.785792769873,6110.436,6095.4595,6125.4126,3872.4946,8348.377,Train,2020-2021,24
2017-06-01,6052.0,6090.939190626028,6090.939190626028,6090.939190626028,4241.791600561342,7940.086780690714,6216.552,6196.6943,6236.409,3978.6104,8454.493,Train,2020-2021,24
2017-07-01,6105.0,6422.361091399268,6422.361091399268,6422.361091399268,4573.213501334583,8271.508681463953,6123.394,6105.883,6140.9053,3885.4526,8361.336,Train,2020-2021,24
2017-08-01,6030.0,5999.032302168206,5999.032302168206,5999.032302168206,4149.884712103521,7848.179892232891,6125.5947,6107.8413,6143.348,3887.6533,8363.536,Train,2020-2021,24
2017-09-01,5969.0,5912.376100839152,5912.376100839152,5912.376100839152,4063.228510774467,7761.523690903838,6072.605,6056.3345,6088.8755,3834.6636,8310.547,Train,2020-2021,24
2017-10-01,5707.0,6139.177723255214,6139.177723255213,6139.177723255215,4290.030133190528,7988.3253133199,6044.3896,6027.645,6061.1343,3806.4482,8282.331,Train,2020-2021,24
