Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2020-02-01,6587.0,6104.018978825162,6104.018978825161,6104.018978825163,4778.345117139581,7429.692840510743,6060.432,6010.5747,6110.2896,4395.2065,7725.6577,Test,2020,12
2020-03-01,7438.0,6763.997570833244,6763.997570833243,6763.997570833245,5438.323709147662,8089.671432518826,6054.784,5996.309,6113.2593,4389.5586,7720.01,Test,2020,12
2020-04-01,8138.0,6428.03375876442,6428.033758764419,6428.033758764421,5102.359897078839,7753.707620450001,6044.9824,5989.569,6100.396,4379.757,7710.208,Test,2020,12
2020-05-01,9609.0,6659.208208597882,6659.208208597881,6659.208208597883,5333.5343469123,7984.882070283464,6009.064,5955.1445,6062.9834,4343.8384,7674.2896,Test,2020,12
2020-06-01,8378.0,6623.868984683088,6623.868984683087,6623.8689846830885,5298.195122997506,7949.542846368669,5990.075,5940.142,6040.0083,4324.8496,7655.301,Test,2020,12
2020-07-01,8692.0,6861.477601975666,6861.477601975666,6861.477601975666,5535.8037402900845,8187.151463661248,5969.427,5922.4736,6016.38,4304.201,7634.6523,Test,2020,12
2020-08-01,8436.0,6851.552374798108,6851.552374798106,6851.55237479811,5525.878513112526,8177.22623648369,5961.6094,5915.7124,6007.5063,4296.384,7626.835,Test,2020,12
2020-09-01,7657.0,6565.116080438083,6565.1160804380825,6565.116080438084,5239.4422187525015,7890.789942123665,5952.0107,5907.3867,5996.635,4286.785,7617.2363,Test,2020,12
2020-10-01,7537.0,6686.362660226832,6686.3626602268305,6686.362660226834,5360.68879854125,8012.036521912414,5944.913,5901.4272,5988.399,4279.6875,7610.1387,Test,2020,12
2020-11-01,7498.0,6655.874066652685,6655.874066652683,6655.874066652686,5330.200204967103,7981.5479283382665,5938.522,5895.5747,5981.469,4273.2964,7603.7476,Test,2020,12
2020-12-01,7861.0,6883.1630187121755,6883.1630187121755,6883.1630187121755,5557.489157026594,8208.836880397757,5934.1196,5891.926,5976.3135,4268.894,7599.345,Test,2020,12
