Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,TCN_Mean,TCN_CI_Lower,TCN_CI_Upper,TCN_PI_Lower,TCN_PI_Upper,Dataset,Horizon,Horizon_Months
2016-11-01,5664.0,5236.751923444665,5236.751923444665,5236.751923444665,3680.895763092668,6792.608083796663,5420.62,5014.3276,5826.9126,4106.5244,6734.716,Train,2020,12
2016-12-01,6082.0,5731.276925811703,5731.276925811702,5731.276925811704,4175.420765459706,7287.133086163701,5502.4204,5132.426,5872.415,4188.3247,6816.516,Train,2020,12
2017-01-01,6505.0,6624.136506141762,6624.13650614176,6624.136506141764,5068.280345789764,8179.992666493759,5732.849,5319.3896,6146.3086,4418.7534,7046.945,Train,2020,12
2017-02-01,5813.0,6633.904089043668,6633.904089043667,6633.904089043669,5078.047928691671,8189.760249395666,6008.7183,5582.86,6434.5767,4694.6226,7322.814,Train,2020,12
2017-03-01,6379.0,6299.129305080895,6299.1293050808945,6299.129305080896,4743.273144728898,7854.985465432893,5754.0205,5325.806,6182.235,4439.925,7068.116,Train,2020,12
2017-04-01,6091.0,6016.992350166715,6016.9923501667145,6016.992350166716,4461.136189814718,7572.848510518713,6105.38,5610.4526,6600.307,4791.284,7419.4756,Train,2020,12
2017-05-01,6219.0,5965.141950753438,5965.141950753437,5965.141950753439,4409.285790401441,7520.998111105436,5973.085,5547.6143,6398.5557,4658.9893,7287.1807,Train,2020,12
2017-06-01,6052.0,6074.479948771217,6074.479948771216,6074.479948771218,4518.62378841922,7630.336109123215,6089.1143,5656.034,6522.1943,4775.0186,7403.21,Train,2020,12
2017-07-01,6105.0,6437.901968526436,6437.901968526436,6437.901968526436,4882.045808174438,7993.758128878433,5864.7856,5426.78,6302.7915,4550.69,7178.8813,Train,2020,12
2017-08-01,6030.0,5886.04844388808,5886.04844388808,5886.04844388808,4330.192283536083,7441.904604240078,6013.4595,5617.4507,6409.4683,4699.364,7327.555,Train,2020,12
2017-09-01,5969.0,5808.598590951545,5808.598590951544,5808.598590951546,4252.742430599547,7364.454751303542,5873.6533,5441.652,6305.655,4559.5576,7187.749,Train,2020,12
2017-10-01,5707.0,6165.28177173888,6165.281771738879,6165.281771738881,4609.425611386882,7721.137932090877,5869.948,5476.9507,6262.946,4555.8525,7184.044,Train,2020,12
2017-11-01,5681.0,5691.107183724431,5691.107183724431,5691.107183724431,4135.251023372433,7246.963344076428,5669.044,5281.515,6056.5728,4354.948,6983.1396,Train,2020,12
2017-12-01,6052.0,6059.330803791788,6059.330803791787,6059.330803791789,4503.47464343979,7615.186964143785,5632.79,5260.6567,6004.9233,4318.6943,6946.8857,Train,2020,12
