Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,TCN_Mean,TCN_CI_Lower,TCN_CI_Upper,TCN_PI_Lower,TCN_PI_Upper,Dataset,Horizon,Horizon_Months
2018-06-01,5981.0,5784.347348858907,5784.347348858907,5784.347348858907,3809.291882041169,7759.402815676645,5840.225,5617.899,6062.5513,4065.7683,7614.6816,Train,2020-2022,36
2018-07-01,6104.0,6172.2512938969,6172.2512938969,6172.2512938969,4197.195827079162,8147.306760714639,5842.335,5643.629,6041.041,4067.8782,7616.792,Train,2020-2022,36
2018-08-01,5991.0,6011.273621553612,6011.273621553612,6011.273621553612,4036.2181547358746,7986.329088371351,6051.92,5834.731,6269.109,4277.463,7826.377,Train,2020-2022,36
2018-09-01,5670.0,5905.972321501537,5905.9723215015365,5905.972321501538,3930.9168546837996,7881.027788319276,5894.3975,5683.6475,6105.1475,4119.9404,7668.8545,Train,2020-2022,36
2018-10-01,5709.0,5607.717167184074,5607.717167184073,5607.717167184075,3632.6617003663364,7582.772634001813,5716.114,5497.204,5935.0234,3941.657,7490.5703,Train,2020-2022,36
2018-11-01,5416.0,5637.518087418205,5637.518087418205,5637.518087418205,3662.4626206004673,7612.573554235943,5656.13,5440.248,5872.0117,3881.673,7430.587,Train,2020-2022,36
2018-12-01,5793.0,5762.875392061121,5762.87539206112,5762.875392061122,3787.819925243383,7737.930858878859,5455.268,5259.3877,5651.1484,3680.8113,7229.7246,Train,2020-2022,36
2019-01-01,5750.0,5887.130407117916,5887.130407117915,5887.130407117917,3912.074940300178,7862.185873935654,5664.2715,5471.873,5856.67,3889.8147,7438.7285,Train,2020-2022,36
2019-02-01,5399.0,5361.820505674964,5361.820505674963,5361.820505674965,3386.765038857226,7336.875972492702,5645.0884,5482.027,5808.15,3870.6316,7419.545,Train,2020-2022,36
2019-03-01,6123.0,5966.125379999599,5966.125379999598,5966.1253799996,3991.0699131818615,7941.180846817337,5422.747,5246.279,5599.2153,3648.2903,7197.204,Train,2020-2022,36
2019-04-01,5730.0,5853.500185744103,5853.500185744103,5853.500185744103,3878.444718926365,7828.555652561841,5863.8247,5663.5317,6064.1177,4089.368,7638.2812,Train,2020-2022,36
2019-05-01,6015.0,5854.397180980232,5854.397180980232,5854.397180980232,3879.3417141624946,7829.452647797971,5746.034,5570.752,5921.3164,3971.5774,7520.491,Train,2020-2022,36
2019-06-01,5989.0,5976.1807051169235,5976.1807051169235,5976.1807051169235,4001.1252382991856,7951.236171934661,5895.1846,5655.322,6135.0474,4120.7275,7669.6416,Train,2020-2022,36
2019-07-01,6333.0,6153.816206155919,6153.816206155919,6153.816206155919,4178.76073933818,8128.871672973657,5868.921,5664.6494,6073.1924,4094.464,7643.378,Train,2020-2022,36
2019-08-01,6388.0,6205.540708931513,6205.540708931512,6205.540708931514,4230.485242113775,8180.596175749251,6254.794,6016.0938,6493.494,4480.337,8029.251,Train,2020-2022,36
2019-09-01,6048.0,6145.923999741461,6145.92399974146,6145.923999741462,4170.868532923723,8120.979466559198,6222.464,5996.3613,6448.5664,4448.007,7996.921,Train,2020-2022,36
2019-10-01,6322.0,6055.889201542898,6055.889201542897,6055.889201542899,4080.8337347251604,8030.944668360637,6093.4287,5860.2134,6326.644,4318.9717,7867.8857,Train,2020-2022,36
2019-11-01,6405.0,6140.470592509685,6140.470592509684,6140.470592509686,4165.415125691947,8115.526059327423,6186.228,5946.1714,6426.2847,4411.7715,7960.6846,Train,2020-2022,36
2019-12-01,6523.0,6776.260344783286,6776.260344783285,6776.260344783287,4801.204877965549,8751.315811601024,6337.84,6113.688,6561.9917,4563.383,8112.297,Train,2020-2022,36
2020-01-01,6732.0,6547.088561760247,6547.088561760247,6547.088561760247,4572.03309494251,8522.144028577984,6421.8716,6187.971,6655.772,4647.415,8196.328,Test,2020-2022,36
2020-02-01,6587.0,6104.018978825162,6104.018978825161,6104.018978825163,4128.963512007424,8079.0744456429,6337.843,5961.584,6714.1016,4563.3857,8112.3,Test,2020-2022,36
2020-03-01,7438.0,6763.997570833244,6763.997570833243,6763.997570833245,4788.942104015507,8739.053037650981,6332.0195,5814.961,6849.078,4557.5625,8106.4766,Test,2020-2022,36
2020-04-01,8138.0,6428.03375876442,6428.033758764419,6428.033758764421,4452.978291946682,8403.089225582158,6315.7344,5671.797,6959.672,4541.2773,8090.1914,Test,2020-2022,36
2020-05-01,9609.0,6659.208208597882,6659.208208597881,6659.208208597883,4684.152741780144,8634.26367541562,6345.6606,5584.343,7106.9785,4571.204,8120.117,Test,2020-2022,36
2020-06-01,8378.0,6623.868984683088,6623.868984683087,6623.8689846830885,4648.81351786535,8598.924451500825,6338.8135,5412.636,7264.9907,4564.3564,8113.2705,Test,2020-2022,36
2020-07-01,8692.0,6861.477601975666,6861.477601975666,6861.477601975666,4886.422135157929,8836.533068793404,6341.4243,5274.7227,7408.126,4566.968,8115.881,Test,2020-2022,36
2020-08-01,8436.0,6851.552374798108,6851.552374798106,6851.55237479811,4876.49690798037,8826.607841615845,6357.4175,5131.4097,7583.4253,4582.961,8131.874,Test,2020-2022,36
2020-09-01,7657.0,6565.116080438083,6565.1160804380825,6565.116080438084,4590.060613620346,8540.17154725582,6381.6313,5009.42,7753.843,4607.175,8156.088,Test,2020-2022,36
2020-10-01,7537.0,6686.362660226832,6686.3626602268305,6686.362660226834,4711.307193409095,8661.41812704457,6419.661,4896.777,7942.5454,4645.204,8194.118,Test,2020-2022,36
2020-11-01,7498.0,6655.874066652685,6655.874066652683,6655.874066652686,4680.818599834947,8630.929533470422,6452.0034,4766.1465,8137.8604,4677.547,8226.46,Test,2020-2022,36
2020-12-01,7861.0,6883.1630187121755,6883.1630187121755,6883.1630187121755,4908.107551894438,8858.218485529913,6491.1304,4642.183,8340.078,4716.674,8265.587,Test,2020-2022,36
2021-01-01,9066.0,6860.308113429002,6860.308113429002,6860.308113429002,4885.252646611265,8835.36358024674,6538.062,4518.5757,8557.549,4763.6055,8312.519,Test,2020-2022,36
2021-02-01,7946.0,6434.251631884211,6434.251631884211,6434.251631884211,4459.1961650664725,8409.30709870195,6592.121,4404.3936,8779.849,4817.664,8366.578,Test,2020-2022,36
2021-03-01,9528.0,7096.146461829661,7096.14646182966,7096.146461829662,5121.090995011924,9071.201928647399,6658.1953,4297.3477,9019.043,4883.7383,8432.652,Test,2020-2022,36
2021-04-01,9644.0,6762.816170645192,6762.816170645192,6762.816170645192,4787.760703827455,8737.87163746293,6726.7017,4186.951,9266.452,4952.245,8501.158,Test,2020-2022,36
2021-05-01,9504.0,6998.558547253704,6998.558547253703,6998.558547253705,5023.503080435967,8973.614014071441,6803.7563,4081.411,9526.102,5029.3,8578.213,Test,2020-2022,36
2021-06-01,9207.0,6977.865805226285,6977.865805226285,6977.865805226285,5002.810338408548,8952.921272044023,6887.5493,3975.8237,9799.275,5113.093,8662.006,Test,2020-2022,36
2021-07-01,9545.0,7222.149910571838,7222.149910571837,7222.1499105718385,5247.0944437541,9197.205377389575,6976.6157,3870.9758,10082.256,5202.159,8751.072,Test,2020-2022,36
2021-08-01,9546.0,7210.503670559445,7210.503670559444,7210.503670559446,5235.448203741707,9185.559137377182,7076.022,3770.8215,10381.223,5301.5654,8850.479,Test,2020-2022,36
2021-09-01,9125.0,6904.571122950629,6904.571122950627,6904.5711229506305,4929.515656132891,8879.626589768366,7180.154,3668.456,10691.852,5405.6973,8954.61,Test,2020-2022,36
2021-10-01,8929.0,7049.795826785057,7049.795826785056,7049.795826785058,5074.74035996732,9024.851293602795,7294.0166,3570.4746,11017.559,5519.5596,9068.474,Test,2020-2022,36
2021-11-01,8474.0,7001.899495218184,7001.899495218183,7001.899495218185,5026.844028400446,8976.954962035921,7415.0938,3472.048,11358.14,5640.6367,9189.551,Test,2020-2022,36
2021-12-01,8812.0,7227.9240740218465,7227.924074021846,7227.924074021847,5252.868607204109,9202.979540839584,7544.165,3375.0942,11713.236,5769.708,9318.622,Test,2020-2022,36
2022-01-01,9266.0,7213.3352542434895,7213.335254243488,7213.335254243491,5238.279787425752,9188.390721061227,7682.6147,3279.9663,12085.264,5908.158,9457.071,Test,2020-2022,36
2022-02-01,8713.0,6796.132251680565,6796.132251680564,6796.132251680566,4821.0767848628275,8771.187718498302,7828.1616,3183.4712,12472.852,6053.705,9602.618,Test,2020-2022,36
2022-03-01,9427.0,7468.406942988671,7468.40694298867,7468.406942988672,5493.351476170934,9443.462409806409,7983.3657,3088.6284,12878.104,6208.909,9757.822,Test,2020-2022,36
2022-04-01,8786.0,7123.980109847007,7123.980109847006,7123.980109847008,5148.92464302927,9099.035576664744,8146.763,2992.583,13300.943,6372.3066,9921.22,Test,2020-2022,36
2022-05-01,9042.0,7367.189609987414,7367.189609987414,7367.189609987414,5392.1341431696765,9342.245076805151,8319.688,2897.146,13742.23,6545.2314,10094.1455,Test,2020-2022,36
2022-06-01,9072.0,7341.8904913980905,7341.8904913980905,7341.8904913980905,5366.835024580352,9316.945958215829,8502.268,2801.4766,14203.059,6727.8105,10276.725,Test,2020-2022,36
2022-07-01,9679.0,7601.936697544641,7601.93669754464,7601.936697544642,5626.881230726904,9576.992164362378,8694.368,2705.1094,14683.627,6919.911,10468.825,Test,2020-2022,36
2022-08-01,9325.0,7602.377909313761,7602.377909313761,7602.377909313761,5627.322442496023,9577.4333761315,8896.922,2608.5698,15185.273,7122.465,10671.379,Test,2020-2022,36
2022-09-01,8977.0,7295.383741939206,7295.383741939205,7295.383741939207,5320.328275121468,9270.439208756943,9109.594,2510.745,15708.442,7335.1367,10884.051,Test,2020-2022,36
2022-10-01,9245.0,7457.107239069786,7457.1072390697855,7457.107239069787,5482.051772252049,9432.162705887524,9333.113,2412.0835,16254.143,7558.6562,11107.57,Test,2020-2022,36
2022-11-01,9026.0,7436.474033849752,7436.474033849751,7436.474033849753,5461.418567032015,9411.52950066749,9567.682,2312.0332,16823.33,7793.2246,11342.139,Test,2020-2022,36
2022-12-01,9733.0,7643.9245546947,7643.924554694699,7643.924554694702,5668.869087876963,9618.980021512438,9813.6,2210.4297,17416.77,8039.1426,11588.057,Test,2020-2022,36
