Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq_Mean,Seq2Seq_CI_Lower,Seq2Seq_CI_Upper,Seq2Seq_PI_Lower,Seq2Seq_PI_Upper,Dataset,Horizon,Horizon_Months
2018-04-01,5766.0,5698.739568918026,5698.739568918026,5698.739568918026,4391.995032358588,7005.484105477463,5820.0405,5810.9023,5829.1787,4485.877,7154.204,Train,2020,12
2018-05-01,5946.0,5843.610855974663,5843.610855974662,5843.6108559746635,4536.866319415225,7150.3553925341,5804.769,5795.149,5814.389,4470.6055,7138.9326,Train,2020,12
2018-06-01,5981.0,5784.347348858907,5784.347348858907,5784.347348858907,4477.602812299469,7091.091885418345,5933.186,5926.6772,5939.695,4599.0225,7267.3496,Train,2020,12
2018-07-01,6104.0,6172.2512938969,6172.2512938969,6172.2512938969,4865.506757337463,7478.995830456338,5946.019,5937.241,5954.797,4611.8555,7280.1826,Train,2020,12
2018-08-01,5991.0,6011.273621553612,6011.273621553612,6011.273621553612,4704.529084994175,7318.01815811305,6046.0225,6037.7524,6054.2925,4711.8594,7380.1855,Train,2020,12
2018-09-01,5670.0,5905.972321501537,5905.9723215015365,5905.972321501538,4599.2277849421,7212.716858060975,6053.4634,6047.0786,6059.848,4719.3,7387.627,Train,2020,12
2018-10-01,5709.0,5607.717167184074,5607.717167184073,5607.717167184075,4300.972630624637,6914.461703743512,5930.2,5925.36,5935.0405,4596.037,7264.3633,Train,2020,12
2018-11-01,5416.0,5637.518087418205,5637.518087418205,5637.518087418205,4330.7735508587675,6944.262623977643,5813.14,5808.3286,5817.9517,4478.9766,7147.3037,Train,2020,12
2018-12-01,5793.0,5762.875392061121,5762.87539206112,5762.875392061122,4456.130855501683,7069.619928620558,5643.036,5638.5415,5647.531,4308.873,6977.199,Train,2020,12
2019-01-01,5750.0,5887.130407117916,5887.130407117915,5887.130407117917,4580.385870558478,7193.874943677353,5693.444,5685.0347,5701.853,4359.2803,7027.6074,Train,2020,12
2019-02-01,5399.0,5361.820505674964,5361.820505674963,5361.820505674965,4055.0759691155263,6668.5650422344015,5728.346,5718.328,5738.3643,4394.1826,7062.51,Train,2020,12
2019-03-01,6123.0,5966.125379999599,5966.125379999598,5966.1253799996,4659.380843440162,7272.869916559037,5679.7153,5675.274,5684.1567,4345.552,7013.879,Train,2020,12
2019-04-01,5730.0,5853.500185744103,5853.500185744103,5853.500185744103,4546.755649184665,7160.244722303541,5816.5396,5804.0366,5829.0425,4482.376,7150.703,Train,2020,12
2019-05-01,6015.0,5854.397180980232,5854.397180980232,5854.397180980232,4547.652644420795,7161.14171753967,5823.306,5814.1123,5832.5,4489.1426,7157.4697,Train,2020,12
2019-06-01,5989.0,5976.1807051169235,5976.1807051169235,5976.1807051169235,4669.436168557486,7282.925241676361,5975.279,5968.947,5981.611,4641.115,7309.4424,Train,2020,12
2019-07-01,6333.0,6153.816206155919,6153.816206155919,6153.816206155919,4847.071669596481,7460.560742715356,5962.5303,5953.4526,5971.608,4628.367,7296.6934,Train,2020,12
2019-08-01,6388.0,6205.540708931513,6205.540708931512,6205.540708931514,4898.7961723720755,7512.285245490951,6149.143,6138.8394,6159.447,4814.9795,7483.3066,Train,2020,12
