Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2017-06-01,6052.0,6074.479948771217,6074.479948771216,6074.479948771218,3706.506080529923,8442.45381701251,5975.285,5910.963,6039.6074,3066.3872,8884.184,Train,2020-2022,36
2017-07-01,6105.0,6437.901968526436,6437.901968526436,6437.901968526436,4069.9281002851417,8805.87583676773,6000.2314,5943.9424,6056.5205,3091.3335,8909.129,Train,2020-2022,36
2017-08-01,6030.0,5886.04844388808,5886.04844388808,5886.04844388808,3518.0745756467863,8254.022312129375,6008.524,5957.388,6059.6597,3099.626,8917.422,Train,2020-2022,36
2017-09-01,5969.0,5808.598590951545,5808.598590951544,5808.598590951546,3440.624722710251,8176.572459192839,5969.8457,5921.724,6017.9673,3060.9478,8878.744,Train,2020-2022,36
2017-10-01,5707.0,6165.28177173888,6165.281771738879,6165.281771738881,3797.307903497586,8533.255639980174,5988.445,5940.076,6036.8135,3079.5469,8897.343,Train,2020-2022,36
2017-11-01,5681.0,5691.107183724431,5691.107183724431,5691.107183724431,3323.133315483137,8059.081051965724,5936.72,5891.6216,5981.819,3027.8223,8845.618,Train,2020-2022,36
2017-12-01,6052.0,6059.330803791788,6059.330803791787,6059.330803791789,3691.3569355504937,8427.304672033082,5913.138,5868.506,5957.7705,3004.2402,8822.036,Train,2020-2022,36
2018-01-01,5904.0,6466.304232323243,6466.304232323242,6466.304232323244,4098.330364081949,8834.278100564537,5907.423,5868.1675,5946.678,2998.525,8816.32,Train,2020-2022,36
2018-02-01,5426.0,5339.989561304121,5339.98956130412,5339.989561304122,2972.015693062827,7707.963429545414,5893.0615,5860.103,5926.02,2984.1636,8801.959,Train,2020-2022,36
2018-03-01,6005.0,6014.601761580031,6014.601761580031,6014.601761580031,3646.627893338737,8382.575629821325,5838.303,5801.4087,5875.1978,2929.4053,8747.201,Train,2020-2022,36
2018-04-01,5766.0,5739.385281614529,5739.385281614528,5739.38528161453,3371.411413373235,8107.3591498558235,5848.0635,5815.8066,5880.3203,2939.1655,8756.961,Train,2020-2022,36
