Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,LSTM_Mean,LSTM_CI_Lower,LSTM_CI_Upper,LSTM_PI_Lower,LSTM_PI_Upper,Dataset,Horizon,Horizon_Months
2018-09-01,5670.0,5905.972321501537,5905.9723215015365,5905.972321501538,3952.1602981670508,7859.784344836024,6010.747,3674.2146,8347.279,3792.6772,8228.816,Train,2020-2021,24
2018-10-01,5709.0,5607.717167184074,5607.717167184073,5607.717167184075,3653.9051438495876,7561.52919051856,5189.94,3492.7842,6887.0957,2971.87,7408.01,Train,2020-2021,24
2018-11-01,5416.0,5637.518087418205,5637.518087418205,5637.518087418205,3683.7060640837185,7591.330110752691,5142.006,4034.0217,6249.99,2923.936,7360.0757,Train,2020-2021,24
2018-12-01,5793.0,5762.875392061121,5762.87539206112,5762.875392061122,3809.063368726634,7716.687415395607,5618.6685,3962.334,7275.003,3400.5986,7836.7383,Train,2020-2021,24
2019-01-01,5750.0,5887.130407117916,5887.130407117915,5887.130407117917,3933.318383783429,7840.942430452402,5303.3184,4203.887,6402.7495,3085.2485,7521.388,Train,2020-2021,24
2019-02-01,5399.0,5361.820505674964,5361.820505674963,5361.820505674965,3408.0084823404773,7315.63252900945,5899.077,3566.682,8231.473,3681.0073,8117.147,Train,2020-2021,24
2019-03-01,6123.0,5966.125379999599,5966.125379999598,5966.1253799996,4012.3133566651127,7919.937403334086,5579.66,4222.2573,6937.063,3361.5903,7797.73,Train,2020-2021,24
2019-04-01,5730.0,5853.500185744103,5853.500185744103,5853.500185744103,3899.6881624096163,7807.312209078589,6177.704,3517.3806,8838.027,3959.6343,8395.773,Train,2020-2021,24
2019-05-01,6015.0,5854.397180980232,5854.397180980232,5854.397180980232,3900.5851576457458,7808.209204314719,5454.538,4220.5,6688.576,3236.4683,7672.608,Train,2020-2021,24
2019-06-01,5989.0,5976.1807051169235,5976.1807051169235,5976.1807051169235,4022.368681782437,7929.992728451411,5166.3936,3577.0833,6755.704,2948.3237,7384.4634,Train,2020-2021,24
2019-07-01,6333.0,6153.816206155919,6153.816206155919,6153.816206155919,4200.004182821433,8107.628229490405,5686.541,3002.329,8370.753,3468.4712,7904.611,Train,2020-2021,24
2019-08-01,6388.0,6205.540708931513,6205.540708931512,6205.540708931514,4251.728685597027,8159.352732265999,5265.9414,4139.0703,6392.8125,3047.8716,7484.011,Train,2020-2021,24
2019-09-01,6048.0,6145.923999741461,6145.92399974146,6145.923999741462,4192.111976406974,8099.736023075948,4301.7246,2801.692,5801.7573,2083.6548,6519.7944,Train,2020-2021,24
