model_name,mean_rmse,median_rmse,std_rmse,min_rmse,max_rmse,count_rmse,mean_mae,median_mae,std_mae,mean_mape,median_mape,std_mape,sum_compute_time,mean_compute_time,n_trials,n_seeds,total_evaluations
LSTM_Config2,566.8604,307.0144,775.2459,287.3181,2771.0713,10,469.929,245.2932,679.7327,7.8052,4.1181,11.1356,92.3859,9.2386,10,1,10
LSTM_Config2,421.649,312.3053,360.4687,268.7291,2771.0713,60,346.2564,254.621,319.4252,5.7482,4.2913,5.1925,527.3647,8.7894,10,6,60
LSTM_Config2,495.8666,314.6094,516.8933,256.2964,3025.3633,110,417.2465,255.5026,470.7786,6.8907,4.2762,7.648,988.3482,8.985,10,11,110
LSTM_Config2,507.0052,315.0189,524.1025,256.2964,3025.3633,160,426.374,257.3157,473.3349,7.0285,4.3375,7.6674,1462.8143,9.1426,10,16,160
LSTM_Config2,502.6796,315.965,521.5484,214.849,3536.3328,210,422.8929,256.7304,473.3978,6.9707,4.3136,7.6532,1941.2733,9.2442,10,21,210
LSTM_Config2,499.2138,316.6912,501.745,214.849,3536.3328,260,418.769,257.9437,453.9265,6.9029,4.3225,7.3309,2424.0723,9.3234,10,26,260
LSTM_Config2,513.3546,316.6524,587.6291,214.849,6282.39,310,434.1164,258.0644,552.8563,7.1568,4.3349,8.9803,2894.2107,9.3362,10,31,310
LSTM_Config2,533.6521,316.4876,658.4179,214.849,6282.39,360,452.841,257.3157,626.8502,7.4649,4.3117,10.2028,3364.5295,9.3459,10,36,360
LSTM_Config2,551.5866,316.6074,706.517,214.849,6282.39,410,468.2964,257.3157,664.5189,7.7132,4.3117,10.7938,3835.3827,9.3546,10,41,410
LSTM_Config2,560.4646,317.4689,696.8631,214.849,6282.39,460,475.9875,258.6889,652.9829,7.8321,4.3399,10.5974,4313.0138,9.3761,10,46,460
LSTM_Config2,480.2204,305.4548,634.4611,287.3181,2771.0713,15,396.3238,244.9443,555.6964,6.5899,4.1127,9.1059,138.4187,9.2279,15,1,15
LSTM_Config2,492.6421,314.0629,672.5511,253.989,5915.3135,90,414.941,256.9055,653.477,6.8839,4.3103,10.6888,791.368,8.793,15,6,90
LSTM_Config2,519.9768,314.3559,629.6566,253.989,5915.3135,165,439.6858,255.6477,597.7358,7.2698,4.2663,9.7508,1479.3658,8.9659,15,11,165
LSTM_Config2,505.3224,312.3053,580.6699,253.989,5915.3135,240,425.8662,255.4389,544.6645,7.0333,4.2509,8.8647,2190.5626,9.1273,15,16,240
LSTM_Config2,514.5748,313.6643,591.3242,214.849,5915.3135,315,434.7599,254.6484,555.9421,7.1737,4.2485,9.0383,2908.6492,9.2338,15,21,315
LSTM_Config2,515.784,315.8106,597.0778,214.849,5915.3135,390,434.7484,256.445,560.3455,7.1739,4.2764,9.1052,3631.4556,9.3114,15,26,390
LSTM_Config2,520.5618,315.87,639.876,214.849,6282.39,465,440.8768,256.4763,608.4564,7.2759,4.2767,9.9041,4332.1714,9.3165,15,31,465
LSTM_Config2,530.4696,315.8106,668.408,214.849,6282.39,540,449.7254,255.6466,638.8454,7.4226,4.277,10.4067,5035.6272,9.3252,15,36,540
LSTM_Config2,546.7862,316.4473,714.9668,214.849,6282.39,615,464.5974,256.6737,678.1893,7.6612,4.2951,11.0301,5742.5339,9.3375,15,41,615
LSTM_Config2,546.8902,316.7192,696.128,214.849,6282.39,690,464.484,257.8417,658.2377,7.654,4.3136,10.6987,6456.112,9.3567,15,46,690
LSTM_Config2,466.391,311.5637,555.034,287.3181,2771.0713,20,388.5514,250.2,487.8992,6.4574,4.1859,7.9995,184.6828,9.2341,20,1,20
LSTM_Config2,563.6425,317.694,771.6711,226.4295,5915.3135,120,478.7358,259.6347,749.662,7.9165,4.3706,12.2516,1058.743,8.8229,20,6,120
LSTM_Config2,549.0334,316.2928,672.9641,226.4295,5915.3135,220,463.4882,257.12,639.4887,7.6507,4.324,10.4281,1973.9136,8.9723,20,11,220
LSTM_Config2,518.7372,313.9725,604.9283,226.4295,5915.3135,320,435.8152,256.277,569.4445,7.1952,4.298,9.2718,2922.0824,9.1315,20,16,320
LSTM_Config2,554.9638,315.3636,702.8422,214.849,5915.3135,420,468.947,256.5159,653.7022,7.7292,4.288,10.6382,3877.7566,9.2328,20,21,420
LSTM_Config2,551.6376,316.6912,687.6846,214.849,5915.3135,520,465.2066,257.5304,637.7021,7.6701,4.3136,10.3759,4842.1329,9.3118,20,26,520
LSTM_Config2,550.262,316.8089,696.5447,214.849,6282.39,620,465.8718,257.887,652.8294,7.6811,4.3183,10.6299,5770.9647,9.308,20,31,620
LSTM_Config2,558.9256,317.155,716.1292,214.849,6282.39,720,474.585,257.887,676.1084,7.8252,4.3161,11.0108,6709.4659,9.3187,20,36,720
LSTM_Config2,569.7949,317.7449,740.3136,214.849,6282.39,820,484.4303,258.0689,695.6152,7.9818,4.3216,11.3138,7652.8897,9.3328,20,41,820
LSTM_Config2,564.7068,318.1352,715.8465,214.849,6282.39,920,479.225,259.0689,671.1456,7.894,4.3399,10.9108,8602.168,9.3502,20,46,920
LSTM_Config2,447.6403,310.8133,499.4423,283.1668,2771.0713,25,372.6546,253.791,439.4704,6.1861,4.2485,7.1999,230.8974,9.2359,25,1,25
LSTM_Config2,601.969,317.694,850.8695,226.4295,5915.3135,150,514.8824,260.8386,828.6559,8.4995,4.38,13.5416,1332.6125,8.8841,25,6,150
LSTM_Config2,595.3106,318.6627,750.4002,226.4295,5915.3135,275,503.86,260.2503,714.6936,8.301,4.3668,11.6471,2476.9241,9.007,25,11,275
LSTM_Config2,569.7926,315.6529,710.3025,226.4295,5915.3135,400,481.9672,257.5304,673.3229,7.9434,4.3216,10.961,3660.9917,9.1525,25,16,400
LSTM_Config2,604.8857,315.7512,817.284,214.849,5915.3135,525,515.9786,257.171,774.8884,8.494,4.3133,12.6216,4858.0048,9.2533,25,21,525
LSTM_Config2,592.3448,316.6074,780.6888,214.849,5915.3135,650,503.728,257.2529,736.8567,8.2978,4.3089,12.0012,6064.1037,9.3294,25,26,650
LSTM_Config2,585.2668,316.7095,769.9629,214.849,6282.39,775,498.4365,257.4143,729.583,8.2125,4.3113,11.8868,7228.0205,9.3265,25,31,775
LSTM_Config2,585.1853,316.6912,767.7861,214.849,6282.39,900,498.9432,256.9306,730.0983,8.2234,4.3012,11.8955,8403.407,9.3371,25,36,900
LSTM_Config2,588.817,317.0929,774.4064,214.849,6282.39,1025,501.6546,257.4143,732.4707,8.2647,4.3097,11.9219,9579.5903,9.3459,25,41,1025
LSTM_Config2,582.8062,317.1816,758.9037,214.849,6282.39,1150,496.0542,257.887,717.6465,8.1715,4.3123,11.6798,10767.7655,9.3633,25,46,1150
LSTM_Config2,461.3281,311.5637,482.5993,283.1668,2771.0713,30,386.6621,257.5742,432.8844,6.4258,4.2845,7.0867,277.1139,9.2371,30,1,30
LSTM_Config2,568.4657,315.877,787.0669,226.4295,5915.3135,180,483.4915,258.2627,765.5897,7.991,4.3545,12.5086,1604.5325,8.9141,30,6,180
LSTM_Config2,564.7428,316.654,696.1192,226.4295,5915.3135,330,475.4945,257.8565,661.4169,7.8433,4.3479,10.7772,2979.0902,9.0275,30,11,330
LSTM_Config2,554.7578,314.515,679.8949,226.4295,5915.3135,480,467.9572,256.6908,641.9457,7.7158,4.3183,10.4419,4400.7206,9.1682,30,16,480
LSTM_Config2,587.5525,315.0468,786.9158,214.849,5915.3135,630,499.7444,256.8686,743.1511,8.2308,4.3081,12.097,5836.3892,9.2641,30,21,630
LSTM_Config2,577.91,316.3614,751.2864,214.849,5915.3135,780,489.7846,257.2529,706.0578,8.0717,4.3136,11.4919,7287.143,9.3425,30,26,780
LSTM_Config2,578.1453,316.7113,760.2351,214.849,6282.39,930,491.7022,257.887,719.6227,8.105,4.3195,11.724,8689.7413,9.3438,30,31,930
LSTM_Config2,575.2835,316.7113,753.7214,214.849,6282.39,1080,489.672,256.9306,715.7182,8.0739,4.3055,11.6599,10102.2059,9.3539,30,36,1080
LSTM_Config2,575.8698,317.1195,754.22,214.849,6282.39,1230,489.7422,257.5702,712.8191,8.0723,4.3136,11.6023,11514.4534,9.3613,30,41,1230
LSTM_Config2,568.0098,317.4689,736.4424,214.849,6282.39,1380,482.5261,257.9469,695.8789,7.9529,4.3195,11.3258,12937.8983,9.3753,30,46,1380
LSTM_Config2,474.8055,313.5931,469.969,283.1668,2771.0713,35,392.2399,262.2312,414.0449,6.516,4.3582,6.7782,323.4053,9.2402,35,1,35
LSTM_Config2,542.5744,315.877,735.431,226.4295,5915.3135,210,458.9536,257.5874,713.8854,7.5912,4.3459,11.6624,1876.1487,8.934,35,6,210
LSTM_Config2,549.3706,316.5827,663.3553,226.4295,5915.3135,385,460.0314,257.171,625.6232,7.5915,4.3376,10.1871,3481.8461,9.0438,35,11,385
LSTM_Config2,541.907,315.0468,651.2679,226.4295,5915.3135,560,455.0987,256.597,610.6636,7.5069,4.3157,9.9276,5142.0817,9.1823,35,16,560
LSTM_Config2,575.8514,315.1238,769.6961,214.849,5915.3135,735,488.8908,256.6904,727.4336,8.0563,4.3024,11.8428,6815.9804,9.2734,35,21,735
LSTM_Config2,564.4062,315.4941,733.1159,214.849,5915.3135,910,476.934,256.6146,688.7857,7.8638,4.3001,11.2113,8510.1544,9.3518,35,26,910
LSTM_Config2,563.605,316.1112,736.4761,214.849,6282.39,1085,477.8714,256.9558,696.4631,7.8804,4.308,11.3458,10149.1791,9.3541,35,31,1085
LSTM_Config2,567.6469,316.3614,746.7065,214.849,6282.39,1260,482.3522,256.6146,709.2877,7.9551,4.3001,11.5567,11795.9175,9.3618,35,36,1260
LSTM_Config2,567.4555,316.7095,743.3009,214.849,6282.39,1435,481.4127,257.171,702.4243,7.9369,4.3102,11.4346,13444.2806,9.3688,35,41,1435
LSTM_Config2,559.2831,317.248,723.6425,214.849,6282.39,1610,473.8668,257.8285,683.6846,7.8121,4.3177,11.1283,15103.1554,9.3808,35,46,1610
LSTM_Config2,503.5762,315.877,470.641,283.1668,2771.0713,40,419.8117,265.447,417.6085,6.9627,4.4241,6.8396,367.5945,9.1899,40,1,40
LSTM_Config2,570.8344,317.899,790.5902,226.4295,5992.958,240,485.4232,259.6347,771.625,8.0239,4.3649,12.6135,2147.9565,8.9498,40,6,240
LSTM_Config2,562.0606,316.7626,700.3806,226.4295,5992.958,440,472.5056,257.2529,666.5141,7.7984,4.324,10.8651,3986.2578,9.0597,40,11,440
LSTM_Config2,546.2594,315.347,670.3055,214.8009,5992.958,640,459.5564,256.8115,632.2379,7.5809,4.3109,10.2887,5884.0109,9.1938,40,16,640
LSTM_Config2,575.6047,315.3913,774.558,214.8009,5992.958,840,488.4261,256.704,732.2824,8.049,4.3012,11.9208,7800.6059,9.2864,40,21,840
LSTM_Config2,560.503,315.653,733.3013,214.8009,5992.958,1040,473.448,256.3744,689.6105,7.8072,4.2945,11.224,9734.6793,9.3603,40,26,1040
LSTM_Config2,562.4073,316.637,733.7853,214.8009,6282.39,1240,476.2595,257.1026,693.3871,7.8531,4.3091,11.2919,11611.4483,9.3641,40,31,1240
LSTM_Config2,567.5707,316.8462,741.3086,214.8009,6282.39,1440,481.7802,257.1026,703.2616,7.9445,4.3099,11.454,13492.9615,9.3701,40,36,1440
LSTM_Config2,565.8723,317.7449,734.3007,214.8009,6282.39,1640,479.7358,257.887,693.3943,7.9086,4.3192,11.2848,15375.7404,9.3755,40,41,1640
LSTM_Config2,557.2058,318.1898,713.6288,214.8009,6282.39,1840,471.5633,257.9937,673.5595,7.7737,4.323,10.9608,17273.1035,9.3876,40,46,1840
LSTM_Config2,488.0758,315.7512,446.1144,283.1668,2771.0713,45,406.8984,263.6834,395.9812,6.7465,4.4236,6.4843,404.0741,8.9794,45,1,45
LSTM_Config2,555.0686,316.5004,753.9107,226.4295,5992.958,270,470.7544,257.3916,734.1372,7.7849,4.324,11.9991,2412.2149,8.9341,45,6,270
LSTM_Config2,547.5811,315.87,669.6206,226.4295,5992.958,495,459.0185,256.2438,635.6009,7.5792,4.2966,10.3588,4481.1236,9.0528,45,11,495
LSTM_Config2,544.5072,314.7608,665.619,214.8009,5992.958,720,457.2498,256.2953,623.5584,7.5442,4.2944,10.1445,6614.6428,9.187,45,16,720
LSTM_Config2,573.5498,315.3452,759.232,214.8009,5992.958,945,485.9963,256.3351,714.6408,8.0093,4.2936,11.6296,8768.7593,9.2791,45,21,945
LSTM_Config2,559.3336,315.8106,720.2542,214.8009,5992.958,1170,471.9395,256.3203,674.3846,7.7822,4.2901,10.9714,10943.7177,9.3536,45,26,1170
LSTM_Config2,561.1152,316.7253,719.14,214.8009,6282.39,1395,474.4825,257.171,676.1822,7.8233,4.3097,11.0068,13053.6982,9.3575,45,31,1395
LSTM_Config2,567.3034,317.4819,728.61,214.8009,6282.39,1620,480.632,257.1026,686.7204,7.9242,4.3099,11.1788,15172.5418,9.3658,45,36,1620
LSTM_Config2,566.5793,317.9706,725.6168,214.8009,6282.39,1845,479.663,257.7262,680.8942,7.9058,4.3172,11.0755,17290.9227,9.3718,45,41,1845
LSTM_Config2,558.0658,318.5448,704.3917,214.8009,6282.39,2070,471.6066,257.9937,660.6487,7.7726,4.323,10.7453,19425.1021,9.3841,45,46,2070
LSTM_Config2,473.2134,315.877,425.2256,283.1668,2771.0713,50,392.5316,265.0676,377.8067,6.5146,4.4241,6.1855,441.1005,8.822,50,1,50
LSTM_Config2,542.6468,317.4398,728.1456,226.4295,5992.958,300,458.5555,257.5874,705.3816,7.5829,4.3341,11.5235,2677.0983,8.9237,50,6,300
LSTM_Config2,550.0556,316.7626,674.7822,226.4295,5992.958,550,460.3938,256.8115,633.7367,7.5971,4.3109,10.3138,4977.2376,9.0495,50,11,550
LSTM_Config2,545.1148,315.6529,662.1202,214.8009,5992.958,800,457.4086,256.9728,616.0506,7.5442,4.3068,10.0128,7346.6604,9.1833,50,16,800
LSTM_Config2,572.1118,315.8106,755.4442,214.8009,5992.958,1050,484.3118,257.1026,706.408,7.979,4.3068,11.4851,9741.0208,9.2772,50,21,1050
LSTM_Config2,559.5613,316.2281,723.5443,214.8009,5992.958,1300,471.4516,256.704,671.7332,7.7707,4.2978,10.9151,12157.7518,9.3521,50,26,1300
LSTM_Config2,561.8552,317.3032,725.7984,214.8009,6282.39,1550,474.6601,257.8,678.1705,7.8233,4.3183,11.0272,14506.7127,9.3592,50,31,1550
LSTM_Config2,567.1321,317.7732,732.6661,214.8009,6282.39,1800,479.5986,257.4314,685.2419,7.9051,4.3145,11.1443,16858.9396,9.3661,50,36,1800
LSTM_Config2,564.5782,318.5448,725.6178,214.8009,6282.39,2050,477.0828,257.9937,676.3944,7.8622,4.3216,10.9938,19212.4749,9.3719,50,41,2050
LSTM_Config2,558.1565,319.3735,707.3511,214.8009,6282.39,2300,470.9691,258.8546,658.3372,7.7605,4.3405,10.6977,21581.4806,9.3833,50,46,2300
