model_name,seed,rmse,mae,mape,compute_time,success,seed_idx,trial
LSTM_Config2,66,313.59308,267.2106,4.423581436276436,9.558863401412964,True,0,24
LSTM_Config2,67,291.4066,210.49593,3.585704043507576,8.910341262817383,True,0,25
LSTM_Config2,68,300.80444,232.28914,3.92075777053833,9.054462671279907,True,0,26
LSTM_Config2,69,342.6719,263.68338,4.521926864981651,9.752686738967896,True,0,27
LSTM_Config2,70,1293.474,1236.3944,20.30046135187149,9.341699838638306,True,0,28
LSTM_Config2,71,420.47882,340.63577,5.793890357017517,9.157304286956787,True,0,29
LSTM_Config2,72,1309.1333,981.46796,16.161449253559113,9.502750396728516,True,0,30
LSTM_Config2,73,383.64673,287.1036,4.882427677512169,9.027454853057861,True,0,31
LSTM_Config2,74,427.7674,320.4547,5.162327364087105,8.958765268325806,True,0,32
LSTM_Config2,75,348.86673,277.2755,4.73846010863781,9.53090500831604,True,0,33
LSTM_Config2,76,308.93677,262.23117,4.340815544128418,9.27157473564148,True,0,34
LSTM_Config2,77,355.9646,304.70203,5.03913052380085,8.811988115310669,True,0,35
LSTM_Config2,78,544.96497,473.03452,7.6114170253276825,9.723589897155762,True,0,36
LSTM_Config2,79,289.58163,231.10217,3.8929466158151627,9.033447027206421,True,0,37
LSTM_Config2,80,893.2863,748.6922,12.355724722146988,8.87402629852295,True,0,38
LSTM_Config2,81,1441.0542,1306.5392,21.547172963619232,7.746149778366089,True,0,39
LSTM_Config2,82,303.9524,254.73926,4.2907074093818665,7.2295849323272705,True,0,40
LSTM_Config2,83,298.07693,223.0697,3.786058723926544,7.191772937774658,True,0,41
LSTM_Config2,84,449.7502,399.814,6.480344384908676,7.59262228012085,True,0,42
LSTM_Config2,85,472.49533,417.79587,6.761122494935989,7.268942594528198,True,0,43
LSTM_Config2,86,296.09235,222.54436,3.7679679691791534,7.196619987487793,True,0,44
LSTM_Config2,87,310.13464,226.13972,3.8407165557146072,7.592225790023804,True,0,45
LSTM_Config2,88,385.5609,285.53867,4.888061806559563,7.231808423995972,True,0,46
LSTM_Config2,89,353.90768,262.84244,4.469239711761475,7.267790794372559,True,0,47
LSTM_Config2,90,332.32556,275.18033,4.523828253149986,7.691987991333008,True,0,48
LSTM_Config2,91,315.33087,266.45175,4.4169653207063675,7.242588043212891,True,0,49
LSTM_Config2,1042,286.1285,238.53362,3.968530520796776,7.14503288269043,True,1,0
LSTM_Config2,1043,294.617,225.16438,3.7934906780719757,7.667065858840942,True,1,1
LSTM_Config2,1044,387.05737,343.25903,5.60058057308197,7.266647100448608,True,1,2
LSTM_Config2,1045,303.00168,242.68098,4.072795063257217,7.288933277130127,True,1,3
LSTM_Config2,1046,936.7504,826.5535,13.24508786201477,7.700629472732544,True,1,4
LSTM_Config2,1047,746.5747,652.0854,10.450991243124008,7.213238000869751,True,1,5
LSTM_Config2,1048,316.7253,258.7992,4.36679869890213,7.263238906860352,True,1,6
LSTM_Config2,1049,331.84866,257.7262,4.374377802014351,7.599704027175903,True,1,7
LSTM_Config2,1050,292.42386,221.39485,3.7452198565006256,7.3330724239349365,True,1,8
LSTM_Config2,1051,312.37466,252.76558,4.215715453028679,7.198061943054199,True,1,9
LSTM_Config2,1052,298.73343,236.70874,3.9731506258249283,7.6697375774383545,True,1,10
LSTM_Config2,1053,298.2927,228.67854,3.8952425122261047,7.346302032470703,True,1,11
LSTM_Config2,1054,290.39038,231.82329,3.8980990648269653,7.14745831489563,True,1,12
LSTM_Config2,1055,305.57816,236.20943,3.999587893486023,7.489823341369629,True,1,13
LSTM_Config2,1056,302.51553,239.79968,4.039692506194115,7.158613204956055,True,1,14
LSTM_Config2,1057,1179.3741,1056.2372,16.949959099292755,7.272863864898682,True,1,15
LSTM_Config2,1058,5443.5186,5349.015,87.61391639709473,7.492621183395386,True,1,16
LSTM_Config2,1059,309.7361,265.26196,4.404447600245476,7.27067494392395,True,1,17
LSTM_Config2,1060,2102.8542,1921.3539,31.058916449546814,7.2354748249053955,True,1,18
LSTM_Config2,1061,297.63525,218.86658,3.7167713046073914,8.968707799911499,True,1,19
LSTM_Config2,1062,2683.1838,2500.8335,40.45080244541168,8.873080968856812,True,1,20
LSTM_Config2,1063,326.39655,265.47958,4.427892342209816,8.379244565963745,True,1,21
LSTM_Config2,1064,299.86896,237.04256,3.9942774921655655,9.068042516708374,True,1,22
LSTM_Config2,1065,711.07715,643.535,10.33552810549736,8.563408136367798,True,1,23
LSTM_Config2,1066,262.37613,200.53589,3.409627452492714,8.636594772338867,True,1,24
LSTM_Config2,1067,628.04376,548.5041,8.821461349725723,9.005138158798218,True,1,25
LSTM_Config2,1068,304.0977,235.09282,3.967999294400215,8.990360975265503,True,1,26
LSTM_Config2,1069,295.35693,230.39558,3.8540054112672806,8.712040424346924,True,1,27
LSTM_Config2,1070,301.97446,225.42522,3.812798485159874,9.279476165771484,True,1,28
LSTM_Config2,1071,294.20053,225.95589,3.813021257519722,8.5653657913208,True,1,29
LSTM_Config2,1072,381.4607,291.12756,4.9904461950063705,8.618145942687988,True,1,30
LSTM_Config2,1073,323.41714,233.9469,3.971158340573311,9.306186437606812,True,1,31
LSTM_Config2,1074,391.8993,348.58548,5.6809816509485245,8.675690412521362,True,1,32
LSTM_Config2,1075,300.80606,219.84746,3.7315230816602707,8.590263366699219,True,1,33
LSTM_Config2,1076,334.57526,257.44852,4.404259100556374,8.977346897125244,True,1,34
LSTM_Config2,1077,355.0941,264.34167,4.5116763561964035,8.52065896987915,True,1,35
LSTM_Config2,1078,327.9225,286.1538,4.773081466555595,8.457984209060669,True,1,36
LSTM_Config2,1079,382.2624,337.38843,5.5220793932676315,9.006879091262817,True,1,37
LSTM_Config2,1080,327.31766,282.50232,4.675421118736267,8.816057205200195,True,1,38
LSTM_Config2,1081,297.31757,234.28227,3.9020344614982605,8.861847162246704,True,1,39
LSTM_Config2,1082,327.67023,244.0686,4.1914209723472595,9.197685956954956,True,1,40
LSTM_Config2,1083,336.09418,247.1191,4.210447892546654,8.688289165496826,True,1,41
LSTM_Config2,1084,300.04974,229.14978,3.8762427866458893,8.424902439117432,True,1,42
LSTM_Config2,1085,298.15225,238.64168,4.015547409653664,9.170170307159424,True,1,43
LSTM_Config2,1086,583.71515,535.39667,8.745952695608139,8.629040718078613,True,1,44
LSTM_Config2,1087,282.19885,215.08916,3.640269860625267,8.842081785202026,True,1,45
LSTM_Config2,1088,314.70032,231.4386,3.9837244898080826,9.20423936843872,True,1,46
LSTM_Config2,1089,373.6712,291.3302,4.928725957870483,8.853811025619507,True,1,47
LSTM_Config2,1090,423.00537,364.09933,6.073105335235596,8.609349727630615,True,1,48
